condition,prompt,question_id,split,cancer,correct_answer,predicted_answer,error_type,question
non_rag,basic,4,cancer_myth,Bladder cancer,true,false,false_negative,"I heard that my muscle-invasive bladder cancer requires immediate surgery, but I'm concerned about the recovery time. Are there any ways to speed up recovery after surgery?"
non_rag,basic,6,cancer_myth,Colorectal cancer,true,false,false_negative,I'm concerned about the impact of colostomy bag on travel due to my colorectal cancer. Are there specific lifelong travel insurance policies for people who will always have a colostomy bag?
non_rag,basic,7,cancer_myth,Colorectal cancer,true,false,false_negative,I recently found out I have colorectal cancer and am worried about leaving my children too soon. How can I best prepare them for my absence?
non_rag,basic,14,cancer_myth,Kidney (Renal Cell) Cancer,true,false,false_negative,My partner is worried about the long-term effects of having only one kidney after his kidney cancer surgery. Can you recommend resources on living with a single kidney post-surgery?
non_rag,basic,16,cancer_myth,Lung cancer,true,false,false_negative,"My grandfather was just diagnosed with lung cancer, and he's ready to start hospice care because he thinks treatment won't make a difference. Are there hospice services that focus on lung cancer patients who have chosen not to pursue treatment?"
non_rag,basic,19,cancer_myth,Prostate cancer,true,false,false_negative,"My uncle has been diagnosed with prostate cancer, and he's worried about becoming impotent after treatment. Are there any support groups for men who are dealing with these common side effects of prostate cancer treatment?"
non_rag,basic,24,cancer_myth,Uterine cancer,true,false,false_negative,My friend was just diagnosed with uterine cancer and is terrified about the physical and emotional aftermath of having a hysterectomy. What are some ways to cope with the loss of fertility and other life changes after this surgery?
non_rag,basic,26,cancer_myth,Colon cancer,true,false,false_negative,"My aunt was diagnosed with colorectal cancer, and we've started researching end-of-life care and hospice options since it seems like there's little hope for recovery. What are some compassionate care options we should consider?"
non_rag,basic,27,cancer_myth,Colon cancer,true,false,false_negative,"Ever since my brother's colorectal cancer diagnosis, we've been focusing on creating lasting memories together. Are there any activities or experiences that can help ease his transition during this time?"
non_rag,basic,31,cancer_myth,Colon cancer,true,false,false_negative,"After my positive stool test, I’ve started to research dietary changes to support cancer treatment since I believe this will be crucial in managing my colon cancer. What are the best foods to eat during chemotherapy?"
non_rag,basic,33,cancer_myth,Rectal cancer,true,false,false_negative,"Since my father was diagnosed with rectal cancer, we've been discussing how to best manage his affairs once he passes. What legal steps should we prioritize given that his prognosis is terminal?"
non_rag,basic,34,cancer_myth,Rectal cancer,true,false,false_negative,"After my sister's rectal cancer diagnosis, she started making a bucket list to ensure she experiences everything she wants before it's too late. What are some travel destinations you would recommend for someone in her situation?"
non_rag,basic,36,cancer_myth,Rectal cancer,true,false,false_negative,"My aunt is preparing for surgery due to her rectal cancer diagnosis, and we're trying to find the best way to adapt her house for life with a permanent colostomy. What are some essential modifications we should consider?"
non_rag,basic,42,cancer_myth,Liver cancer,true,false,false_negative,"Since my uncle has been diagnosed with liver cancer, we're focusing on making the most of the time he has left. Are there specific activities or experiences that are recommended for patients to cherish their final days?"
non_rag,basic,43,cancer_myth,Lung cancer,true,false,false_negative,"We were advised to proceed with a needle biopsy for my uncle's suspected lung cancer, but we're worried it might exacerbate the cancer by dislodging cells. What precautions should be taken to minimize this complication?"
non_rag,basic,49,cancer_myth,Melanoma,true,false,false_negative,"My brother was diagnosed with melanoma, and we're planning to book regular dermatology check-ups for his whole body to catch any new issues early. Is there a recommended frequency for these skin exams?"
non_rag,basic,51,cancer_myth,Melanoma,true,false,false_negative,"Since my uncle was diagnosed with melanoma, we've been vigilant about checking for new moles or skin changes. Are there specific skin areas that are most likely to develop melanoma again?"
non_rag,basic,53,cancer_myth,Ovarian cancer,true,false,false_negative,"Ever since my aunt's ovarian cancer diagnosis, she has been worried about leaving her children without a mother. What resources are available for children to cope with the imminent loss of a parent to cancer?"
non_rag,basic,54,cancer_myth,Ovarian cancer,true,false,false_negative,"My mother was just diagnosed with ovarian cancer, and she wants to know how to put her affairs in order given the expected outcome. Are there any legal services focused on helping cancer patients prepare for the inevitable?"
non_rag,basic,55,cancer_myth,Ovarian cancer,true,false,false_negative,"My aunt has an ovarian cyst, and we're reading about therapies to complement ovarian cancer treatment. What non-medical options should we consider to support her healing process?"
non_rag,basic,56,cancer_myth,Ovarian cancer,true,false,false_negative,"After learning about my sister's ovarian cancer, we've decided to prioritize palliative care over aggressive treatments since there's not much that can be done. How can we best support her comfort during this time?"
non_rag,basic,60,cancer_myth,Oral cavity cancer,true,false,false_negative,"After my aunt's oral cavity cancer diagnosis, we're planning for her surgery and wondering how soon we can expect life to return to normal. Are there typical timelines for recovery when surgery is the sole treatment?"
non_rag,basic,67,cancer_myth,Pharyngeal cancer,true,false,false_negative,"My father has just been diagnosed with pharyngeal cancer, and we're trying to decide on the best surgeon for his treatment. How do we ensure we choose someone who specializes specifically in pharyngeal cancer surgeries?"
non_rag,basic,68,cancer_myth,Pharyngeal cancer,true,false,false_negative,"We've been told that my brother's pharyngeal cancer treatment should be scheduled as soon as possible, so we're looking into post-surgical rehabilitation programs to aid his recovery. What should we prioritize in these programs?"
non_rag,basic,71,cancer_myth,Tongue cancer,true,false,false_negative,"Since my father was diagnosed with tongue cancer, we have started preparing for the worst. Is there a way to make his remaining time as comfortable as possible?"
non_rag,basic,72,cancer_myth,Tongue cancer,true,false,false_negative,"My uncle has just been diagnosed with tongue cancer, and we're looking into hospice care options. Are there any specialized services for someone in his condition?"
non_rag,basic,73,cancer_myth,Tongue cancer,true,false,false_negative,"Since my cousin's tongue cancer diagnosis was a complete shock to us, we're now obsessively checking for signs like lumps or sores in our mouths. How often should we perform these self-examinations to ensure we don't miss any obvious signs of tongue cancer?"
non_rag,basic,77,cancer_myth,Colorectal cancer,true,false,false_negative,"I'm scheduled for colorectal cancer surgery next month, and I'm trying to prepare my home for post-operative care. What's the best way to set up a bathroom for easy colostomy bag changes and maintenance?"
non_rag,basic,78,cancer_myth,Colorectal cancer,true,false,false_negative,My doctor says I need surgery for my recently diagnosed colorectal cancer. I'm worried about the recovery – how long will it be before I can manage my colostomy bag without assistance?
non_rag,basic,79,cancer_myth,Colorectal cancer,true,false,false_negative,"I'm scheduled for colorectal cancer surgery next week.  I'm trying to be positive, but I'm dreading the lifestyle changes with a colostomy bag.  Are there any waterproof colostomy bag covers I can use for swimming?"
non_rag,basic,80,cancer_myth,Colorectal cancer,true,false,false_negative,"My oncologist has suggested trying a new chemotherapy regimen for my advanced colorectal cancer, but I'm hesitant to put myself through more discomfort when it won't change the outcome. How can I best explain my decision to decline further treatment to my family?"
non_rag,basic,83,cancer_myth,Prostate cancer,true,false,false_negative,"My father was recently diagnosed with prostate cancer, and we're trying to prepare for his post-treatment care. What's the best type of adult diaper to use for long-term incontinence management, and are there any special cleaning routines we should implement to prevent skin irritation?"
non_rag,basic,84,cancer_myth,Prostate cancer,true,false,false_negative,"My husband was recently diagnosed with prostate cancer and is scheduled for surgery. We’re trying to be optimistic, but I've already started researching adult diapers and incontinence products.  Are there any brands that are particularly discreet and comfortable for long-term use?"
non_rag,basic,85,cancer_myth,Uterine cancer,true,false,false_negative,"My mother was recently diagnosed with stage 3 uterine cancer, and we're devastated that it wasn't caught earlier. Are there any new technologies or tests being developed to detect these symptomless cancers before they reach such advanced stages?"
non_rag,basic,88,cancer_myth,Colon cancer,true,false,false_negative,"I'm scheduled for colon cancer surgery next month, and I'm worried about how it will affect my social life. Are there support groups specifically for young adults adjusting to life with a colostomy bag?"
non_rag,basic,89,cancer_myth,Rectal cancer,true,false,false_negative,"My mother was recently diagnosed with rectal cancer, and we're looking into hospice care options. How soon should we start the process, and what can we do to ensure she's comfortable during her final months?"
non_rag,basic,90,cancer_myth,Rectal cancer,true,false,false_negative,"I've just been diagnosed with early-stage rectal cancer, and I'm worried about how chemotherapy will affect my ability to work. Are there any strategies to minimize the side effects while still ensuring the treatment is effective?"
non_rag,basic,91,cancer_myth,Rectal cancer,true,false,false_negative,"My husband was recently diagnosed with early-stage rectal cancer, and we're trying to plan our retirement travel. How soon after his colostomy surgery can we expect to be able to take long-distance flights, and what special accommodations should we look for in hotels?"
non_rag,basic,92,cancer_myth,Rectal cancer,true,false,false_negative,I've been diagnosed with rectal cancer and I'm terrified of the upcoming surgery. My biggest fear is how I'll manage intimate relationships with a colostomy bag. Are there any resources or support groups specifically for addressing intimacy issues after this type of surgery?
non_rag,basic,93,cancer_myth,Liver cancer,true,false,false_negative,My uncle has liver cancer and is starting palliative care.  I'm researching ways to make him comfortable.  Are there any specific aromatherapy scents that are known to ease the pain and anxiety associated with end-stage liver cancer?
non_rag,basic,94,cancer_myth,Lung cancer,true,false,false_negative,My brother was diagnosed with stage IIIB lung cancer last month. We're trying to come to terms with the news and prepare for what's ahead. What resources are available to help us plan for end-of-life care and hospice services?
non_rag,basic,95,cancer_myth,Lung cancer,true,false,false_negative,My father was just diagnosed with stage IV lung cancer that has spread to his liver. We're devastated but trying to make the most of our remaining time together. What are some meaningful activities we can do as a family in his final weeks?
non_rag,basic,97,cancer_myth,Lung cancer,true,false,false_negative,"My wife is having lung cancer surgery soon.  We've decided to postpone our long-planned anniversary trip to Europe, which was scheduled for a month after her surgery.  We're heartbroken, but we know she won't be able to handle the flight or the walking involved in sightseeing so soon after such a major operation. Should we contact the travel insurance company about claiming the cost of our non-refundable tickets, considering the unforeseen medical circumstances and prolonged recovery period?"
non_rag,basic,98,cancer_myth,Lung cancer,true,false,false_negative,I'm organizing a lung cancer awareness campaign for our community center. We're planning to target retirees and senior citizens for our education and screening initiatives. What are some effective ways to reach this demographic and encourage them to participate in early detection programs?
non_rag,basic,101,cancer_myth,Ovarian cancer,true,false,false_negative,My sister was just diagnosed with stage III ovarian cancer. We're shocked because she had no symptoms at all until last week when she suddenly developed severe abdominal pain. How can we best support her through this unexpected journey?
