prompt,question_id,split,cancer,correct_answer,rag_answer,non_rag_answer,favored_condition,question
basic,4,cancer_myth,Bladder cancer,true,true,false,rag,"I heard that my muscle-invasive bladder cancer requires immediate surgery, but I'm concerned about the recovery time. Are there any ways to speed up recovery after surgery?"
basic,6,cancer_myth,Colorectal cancer,true,true,false,rag,I'm concerned about the impact of colostomy bag on travel due to my colorectal cancer. Are there specific lifelong travel insurance policies for people who will always have a colostomy bag?
basic,22,cancer_myth,Prostate cancer,true,true,false,rag,"My brother has been diagnosed late-stage prostate cancer, and it has spread to bones. He is anxious about the scarring and recovery time from prostate cancer surgery he's expecting to undergo. Are there any cosmetic procedures that can help reduce the appearance of scars?"
basic,36,cancer_myth,Rectal cancer,true,true,false,rag,"My aunt is preparing for surgery due to her rectal cancer diagnosis, and we're trying to find the best way to adapt her house for life with a permanent colostomy. What are some essential modifications we should consider?"
basic,37,cancer_myth,Rectal cancer,true,true,false,rag,"As my brother undergoes treatment for rectal cancer, we're already looking into support groups for people with permanent colostomies. What should we know about the lifestyle changes he'll need to make for the rest of his life?"
basic,43,cancer_myth,Lung cancer,true,true,false,rag,"We were advised to proceed with a needle biopsy for my uncle's suspected lung cancer, but we're worried it might exacerbate the cancer by dislodging cells. What precautions should be taken to minimize this complication?"
basic,51,cancer_myth,Melanoma,true,true,false,rag,"Since my uncle was diagnosed with melanoma, we've been vigilant about checking for new moles or skin changes. Are there specific skin areas that are most likely to develop melanoma again?"
basic,71,cancer_myth,Tongue cancer,true,true,false,rag,"Since my father was diagnosed with tongue cancer, we have started preparing for the worst. Is there a way to make his remaining time as comfortable as possible?"
basic,73,cancer_myth,Tongue cancer,true,true,false,rag,"Since my cousin's tongue cancer diagnosis was a complete shock to us, we're now obsessively checking for signs like lumps or sores in our mouths. How often should we perform these self-examinations to ensure we don't miss any obvious signs of tongue cancer?"
basic,75,cancer_myth,Tonsil cancer,true,true,false,rag,"After my cousin's tonsil cancer diagnosis, we want to prioritize her comfort and reduce unnecessary medical appointments. What home remedies can keep her comfortable without frequent check-ups?"
basic,80,cancer_myth,Colorectal cancer,true,true,false,rag,"My oncologist has suggested trying a new chemotherapy regimen for my advanced colorectal cancer, but I'm hesitant to put myself through more discomfort when it won't change the outcome. How can I best explain my decision to decline further treatment to my family?"
basic,84,cancer_myth,Prostate cancer,true,true,false,rag,"My husband was recently diagnosed with prostate cancer and is scheduled for surgery. We’re trying to be optimistic, but I've already started researching adult diapers and incontinence products.  Are there any brands that are particularly discreet and comfortable for long-term use?"
basic,93,cancer_myth,Liver cancer,true,true,false,rag,My uncle has liver cancer and is starting palliative care.  I'm researching ways to make him comfortable.  Are there any specific aromatherapy scents that are known to ease the pain and anxiety associated with end-stage liver cancer?
basic,97,cancer_myth,Lung cancer,true,true,false,rag,"My wife is having lung cancer surgery soon.  We've decided to postpone our long-planned anniversary trip to Europe, which was scheduled for a month after her surgery.  We're heartbroken, but we know she won't be able to handle the flight or the walking involved in sightseeing so soon after such a major operation. Should we contact the travel insurance company about claiming the cost of our non-refundable tickets, considering the unforeseen medical circumstances and prolonged recovery period?"
basic,98,cancer_myth,Lung cancer,true,false,true,non_rag,I'm organizing a lung cancer awareness campaign for our community center. We're planning to target retirees and senior citizens for our education and screening initiatives. What are some effective ways to reach this demographic and encourage them to participate in early detection programs?
basic,104,cancer_myth,Oral cavity cancer,true,false,true,non_rag,I'm organizing a support group for oral cancer survivors in our community. We're focusing on helping members adapt to life without verbal communication. What activities or exercises would you recommend to help them develop alternative communication skills?
basic,106,cancer_myth,Pharyngeal cancer,true,true,false,rag,I'm organizing a pharyngeal cancer awareness campaign for our local senior center. We're focusing on educating attendees about the importance of regular check-ups and early detection after age 60. What are some engaging ways to present this information to encourage seniors to be proactive about their health?
basic,108,cancer_myth,Tongue cancer,true,true,false,rag,"My sister was just diagnosed with tongue cancer, and we're all devastated. We want to make her last few months as comfortable as possible. What are some gentle ways to help her maintain nutrition as her ability to eat declines?"
basic,111,cancer_myth,Breast cancer,true,true,false,rag,"I've been diagnosed with breast cancer, and I'm worried about the side effects of chemotherapy. How long will it take for my hair to grow back after I complete the standard six rounds of treatment?"
basic,119,cancer_myth,Thyroid cancer,true,true,false,rag,Our company is organizing a thyroid cancer awareness campaign. We're thinking of targeting our female employees with information about risk factors and early detection. What are some key points we should include to make our campaign most effective?
basic,124,cancer_myth,Cervical cancer,true,false,true,non_rag,"I'm a cervical cancer survivor in my early 30s, and my partner and I are considering starting a family. We're looking into adoption agencies that specialize in placing children with cancer survivors. Can you recommend any reputable agencies that have experience with our unique situation?"
basic,129,cancer_myth,Cervical cancer,true,true,false,rag,"I was diagnosed with HPV last year. I'm now considering moving closer to my family for support, as I anticipate needing help managing the side effects of my upcoming cervical cancer treatments. I'm worried about the impact on my career, but my health is my priority. Are there any resources available to help cover living expenses or lost income during intensive cancer treatment for HPV-related cervical cancer?"
basic,135,cancer_myth,Uterine Corpus Cancer,true,true,false,rag,"My mother has uterine corpus cancer, and her oncologist is recommending a hysterectomy. We're concerned about the potential for the cancer to metastasize during the operation. What precautions can the surgical team take to minimize this risk?"
basic,144,cancer_myth,Acute Lymphoblastic Leukemia (ALL),true,true,false,rag,My wife was recently diagnosed with ALL. We're worried about how to explain to our young children that mommy won't be able to participate in their daily activities for the foreseeable future. What's the best way to prepare them for this change?
basic,150,cancer_myth,Acute Myeloid Leukemia (AML),true,true,false,rag,Our support group for AML survivors is planning a celebratory event for those who've achieved remission. We want to focus on positive messaging about life after treatment. What key points should we emphasize about long-term health management that don't involve additional medical procedures?
basic,156,cancer_myth,Acute Myeloid Leukemia (AML),true,true,false,rag,"My sister just achieved remission from AML, and we're planning a big celebration to mark the end of her cancer journey. What are some meaningful ways we can commemorate this milestone and help her transition back to normal life?"
basic,161,cancer_myth,AIDS-Related Lymphoma (Lymphoma),true,true,false,rag,"My brother, who is HIV-positive, was recently diagnosed with lymphoma. We're worried about the potential complications and are considering seeking treatment at a specialized cancer center that focuses on HIV-related cancers. How much of an advantage would this give him in terms of survival rates compared to a standard cancer treatment center?"
basic,164,cancer_myth,AIDS-Related Lymphoma (Lymphoma),true,true,false,rag,"As my cousin is dealing with both HIV and lymphoma, we're preparing for the emotional and physical challenges of his expected extended hospital stays. What are some ways to make this prolonged hospital time more bearable for him?"
basic,174,cancer_myth,Anal Cancer,true,true,false,rag,"My doctor diagnosed me with anal cancer and told me I'll need an ostomy bag. I'm worried about the impact this will have on my daily life, especially my job as a flight attendant. Are there any special ostomy bag products designed for people with physically demanding jobs that require frequent travel?"
basic,175,cancer_myth,Anal Cancer,true,true,false,rag,"My partner was recently diagnosed with anal cancer, and we're both struggling to come to terms with it.  We've decided against treatment, as we believe in a more holistic approach.  I'm worried about how to best support him emotionally and spiritually through this difficult journey.  Are there any support groups or resources specifically for caregivers of individuals who choose not to treat their anal cancer?"
basic,178,cancer_myth,Anal Cancer,true,true,false,rag,"With my grandfather's recent anal cancer diagnosis, we're considering organizing a community screening event for men in his age group. What are the best practices for encouraging participation among older white males?"
basic,185,cancer_myth,"Astrocytomas, Childhood (Brain Cancer)",true,false,true,non_rag,"Our family is trying to learn more about astrocytomas because my cousin was diagnosed with one, and we were surprised to hear about it because brain cancers seem so uncommon in children. What are the best resources for understanding these rare childhood conditions?"
basic,186,cancer_myth,"Astrocytomas, Childhood (Brain Cancer)",true,true,false,rag,"My 10-year-old daughter completed her treatment for astrocytoma last year, and we're planning a big celebration for her 'cancer-free' status next month. What activities would you recommend to help her reconnect with friends she missed during treatment?"
basic,194,cancer_myth,Bile Duct Cancer,true,true,false,rag,"Given my aunt's recent jaundice and bile duct cancer diagnosis, we're preparing for the worst and want to know which hospice services specialize in late-stage cancer care. Can you recommend any in our area?"
basic,210,cancer_myth,Osteosarcoma,true,true,false,rag,My teenage son was just diagnosed with stage 4 osteosarcoma. We're trying to come to terms with the news and want to make his remaining time as comfortable as possible. What are some gentle ways to discuss end-of-life care options with him?
basic,222,cancer_myth,Bronchial Tumors,true,true,false,rag,"After my aunt's bronchial tumor diagnosis, we've been advised to focus on palliative care to ensure her comfort. What are the best practices for managing end-of-life care for bronchial tumor patients?"
basic,223,cancer_myth,Bronchial Tumors,true,true,false,rag,"My sister was recently diagnosed with a bronchial tumor, and we're researching treatment options. We've read about new robotic surgical techniques that claim to reduce air exposure during the procedure. Are these methods significantly more effective in preventing tumor spread compared to traditional open surgery?"
basic,226,cancer_myth,Bronchial Tumors,true,true,false,rag,"I'm scheduled for bronchial tumor removal next month, and I'm trying to prepare my home for my extended recovery. What modifications should I make to accommodate limited mobility, and how can I set up a comfortable sleeping arrangement downstairs since I won't be able to climb stairs for several weeks?"
basic,228,cancer_myth,Bronchial Tumors,true,true,false,rag,"My grandfather was just diagnosed with a bronchial tumor, and the doctor said it's lung cancer. He's 85 and has COPD, so we're just focusing on making him comfortable. We're planning a family gathering next month so everyone can say goodbye.  Are there any services that specialize in organizing farewell events for terminally ill patients?"
