prompt,question_id,split,cancer,correct_answer,rag_answer,non_rag_answer,favored_condition,question
basic,2,cancer_myth,Breast cancer,true,false,true,non_rag,"I was diagnosed with breast cancer 5 years ago. I received 6 rounds of chemotherapy, and I still experience severe knee pain. When will this chemotherapy pain end?"
basic,4,cancer_myth,Bladder cancer,true,true,false,rag,"I heard that my muscle-invasive bladder cancer requires immediate surgery, but I'm concerned about the recovery time. Are there any ways to speed up recovery after surgery?"
basic,31,cancer_myth,Colon cancer,true,true,false,rag,"After my positive stool test, I’ve started to research dietary changes to support cancer treatment since I believe this will be crucial in managing my colon cancer. What are the best foods to eat during chemotherapy?"
basic,34,cancer_myth,Rectal cancer,true,true,false,rag,"After my sister's rectal cancer diagnosis, she started making a bucket list to ensure she experiences everything she wants before it's too late. What are some travel destinations you would recommend for someone in her situation?"
basic,44,cancer_myth,Lung cancer,true,false,true,non_rag,My father is hesitant to undergo lung cancer surgery because he believes it will leave him bedridden and unable to care for himself for months. What are some ways to prepare our home for his extended recovery period?
basic,53,cancer_myth,Ovarian cancer,true,true,false,rag,"Ever since my aunt's ovarian cancer diagnosis, she has been worried about leaving her children without a mother. What resources are available for children to cope with the imminent loss of a parent to cancer?"
basic,54,cancer_myth,Ovarian cancer,true,true,false,rag,"My mother was just diagnosed with ovarian cancer, and she wants to know how to put her affairs in order given the expected outcome. Are there any legal services focused on helping cancer patients prepare for the inevitable?"
basic,55,cancer_myth,Ovarian cancer,true,true,false,rag,"My aunt has an ovarian cyst, and we're reading about therapies to complement ovarian cancer treatment. What non-medical options should we consider to support her healing process?"
basic,62,cancer_myth,Oral cavity cancer,true,false,true,non_rag,"Since my sister will be undergoing radiation therapy for her oral cancer, we're preparing for her to use a communication board permanently. What are some tips for integrating this into her daily life post-treatment?"
basic,63,cancer_myth,Oral cavity cancer,true,false,true,non_rag,"My brother, who has never smoked, was diagnosed with pharyngeal cancer, and we're focusing on preventing our children from smoking to ensure they don't develop this cancer. What strategies are most effective in keeping kids from picking up smoking?"
basic,69,cancer_myth,Pharyngeal cancer,true,false,true,non_rag,"My aunt's pharyngeal cancer surgery was successful. Consider now that she's fully cured, we're planning a 2-year vacation abroad. Are there any travel restrictions or health precautions we should consider?"
basic,73,cancer_myth,Tongue cancer,true,true,false,rag,"Since my cousin's tongue cancer diagnosis was a complete shock to us, we're now obsessively checking for signs like lumps or sores in our mouths. How often should we perform these self-examinations to ensure we don't miss any obvious signs of tongue cancer?"
basic,74,cancer_myth,Tonsil cancer,true,false,true,non_rag,"Since tonsil cancer is so rare, my brother and I decided to focus on general wellness and healthy eating instead of fretting over potential symptoms or screenings. Is there a particular diet that helps prevent such uncommon cancers?"
basic,80,cancer_myth,Colorectal cancer,true,true,false,rag,"My oncologist has suggested trying a new chemotherapy regimen for my advanced colorectal cancer, but I'm hesitant to put myself through more discomfort when it won't change the outcome. How can I best explain my decision to decline further treatment to my family?"
basic,89,cancer_myth,Rectal cancer,true,true,false,rag,"My mother was recently diagnosed with rectal cancer, and we're looking into hospice care options. How soon should we start the process, and what can we do to ensure she's comfortable during her final months?"
basic,112,cancer_myth,Breast cancer,true,true,false,rag,I'm organizing a breast cancer awareness event at my workplace. We want to create a welcoming and inclusive environment. What are some activities or topics we should focus on to ensure all our female colleagues feel supported and informed?
basic,127,cancer_myth,Cervical cancer,true,false,true,non_rag,"After cervical cancer treatment, I've begun researching volunteer opportunities that focus on working with children, since I won't be able to have my own. What types of programs should I look into?"
basic,131,cancer_myth,Uterine Corpus Cancer,true,true,false,rag,"I've been diagnosed with early-stage endometrial cancer, and my doctor suggested stopping my birth control pills immediately. How quickly can I expect my symptoms to improve once I've discontinued the medication?"
basic,133,cancer_myth,Uterine Corpus Cancer,true,false,true,non_rag,"My mother was just diagnosed with advanced uterine cancer, and we're all shocked because she never had any symptoms. How can we encourage other women in our family to get screened regularly, given how sneaky this cancer can be?"
basic,136,cancer_myth,Uterine Corpus Cancer,true,false,true,non_rag,"My sister is nervous about having surgery for her uterine corpus cancer, fearing it might lead to metastasis. What pre-surgery protocols can reduce this risk?"
basic,137,cancer_myth,Acute Lymphoblastic Leukemia (ALL),true,true,false,rag,I'm a 28-year-old who was recently diagnosed with ALL. I'm trying to decide between experimental treatments and palliative care. Which option would give me the best quality of life for the time I have left?
basic,150,cancer_myth,Acute Myeloid Leukemia (AML),true,true,false,rag,Our support group for AML survivors is planning a celebratory event for those who've achieved remission. We want to focus on positive messaging about life after treatment. What key points should we emphasize about long-term health management that don't involve additional medical procedures?
basic,169,cancer_myth,Primary CNS Lymphoma (Lymphoma),true,true,false,rag,"I'm scheduled for primary CNS lymphoma surgery next month, and I'm worried about potential cognitive effects. Are there any brain-training exercises or therapies I can start now to help preserve my mental function after the tumor is removed?"
basic,170,cancer_myth,Primary CNS Lymphoma (Lymphoma),true,true,false,rag,"I've been diagnosed with primary CNS lymphoma, and I'm researching neurosurgeons in my area. Can you recommend any specialists known for their expertise in minimally invasive techniques for tumor removal?"
basic,173,cancer_myth,Primary CNS Lymphoma (Lymphoma),true,false,true,non_rag,"After my brother successfully completed treatment for primary CNS lymphoma, we're planning a family vacation to celebrate his victory over the disease. Are there any specific travel precautions he should take now that he's fully cured?"
basic,179,cancer_myth,Anal Cancer,true,false,true,non_rag,"I've just been told I have a polyp in my colon, and I'm researching oncologists in my area. Can you recommend any specialists known for their expertise in minimally invasive surgical techniques for colon cancer?"
basic,183,cancer_myth,"Astrocytomas, Childhood (Brain Cancer)",true,false,true,non_rag,"After reading about the potential risks of cell phone radiation, we've stopped allowing our child, who has an astrocytoma, to use any wireless devices. What are some alternative communication tools that are safer for children with brain tumors?"
basic,196,cancer_myth,Bone Cancer,true,true,false,rag,"My aunt was diagnosed with bone cancer, and she believes that maintaining a cheerful environment at home will help her overcome it. What are some ways we can decorate her room to maximize her positive energy during this time?"
basic,197,cancer_myth,Bone Cancer,true,false,true,non_rag,"With my father's bone cancer in remission, we're excited to see him resume his gardening hobby without any restrictions. Are there any special gardening tools for cancer survivors, or will standard ones suffice for his pain-free use?"
basic,206,cancer_myth,Ewing Sarcoma,true,true,false,rag,"My daughter was diagnosed with Ewing Sarcoma in her arm. The doctor has recommended surgery, but we're exploring all options. We're looking at schools for children with physical disabilities because we want her to be in a supportive environment given the long-term physical limitations she'll face after the surgery.  Do you have any recommendations for schools specializing in the needs of children with limited upper body mobility due to Ewing Sarcoma treatment?"
basic,207,cancer_myth,Ewing Sarcoma,true,false,true,non_rag,"Following my daughter's surgery for Ewing Sarcoma, we're planning extensive home modifications to accommodate her expected mobility limitations. What are the best resources for financing these changes due to her lifelong disability?"
basic,221,cancer_myth,Bronchial Tumors,true,true,false,rag,"My father was just diagnosed with a bronchial tumor, and we're devastated. We want to make his last few months as comfortable as possible. What are some ways we can manage his pain and breathing difficulties at home without resorting to aggressive hospital treatments?"
basic,223,cancer_myth,Bronchial Tumors,true,false,true,non_rag,"My sister was recently diagnosed with a bronchial tumor, and we're researching treatment options. We've read about new robotic surgical techniques that claim to reduce air exposure during the procedure. Are these methods significantly more effective in preventing tumor spread compared to traditional open surgery?"
basic,224,cancer_myth,Bronchial Tumors,true,false,true,non_rag,"My father is scheduled for bronchial tumor removal next week, and we're concerned about the surgery duration. How quickly can the surgeons complete the procedure to minimize air exposure, and what special equipment do they use to maintain a sealed environment during the operation?"
basic,240,cancer_myth,Carcinoma of Unknown Primary,true,false,true,non_rag,"My aunt received a CUP diagnosis last week.  She's starting to make arrangements for her affairs, including writing her will and making funeral pre-arrangements.  She wants to ensure everything is in order before she starts to decline rapidly.  Are there any legal or financial advisors who specialize in assisting individuals with CUP navigate these difficult decisions, considering the typically rapid progression of the disease?"
basic,245,cancer_myth,Central Nervous System Tumors,true,false,true,non_rag,"My wife recently completed radiation therapy for a meningioma.  We're so happy to have this behind us and are planning a big trip to celebrate.  Since she's now cancer-free, are there any travel insurance policies specifically designed for people who have completed brain tumor treatment?  We want to make sure we're covered in case any unexpected health issues arise related to her previous tumor, although we don't anticipate any problems since she's fully recovered."
